DATE tmin tmax tmean rh wind_speed radiation precipitation sunshine_duration
----------------------------------------------------------------------------
20220601 13.7 23.4 19.0 69.6 1.3 257.6 0.0 413
20220602 17.5 26.5 21.3 69.1 1.1 242.8 0.0 357
20220603 17.0 20.9 18.6 90.4 1.2 35.6 54.9 0
20220604 15.5 26.4 21.0 80.5 1.0 317.7 0.0 682
20220605 16.7 25.9 20.4 82.0 1.4 193.4 20.6 391
20220606 14.6 28.0 21.3 67.8 1.4 337.7 0.0 665
20220607 17.9 23.3 20.7 71.8 2.2 208.7 4.7 371
20220608 14.4 23.6 18.1 72.8 1.4 225.6 6.0 347
20220609 12.8 25.8 19.9 49.7 4.8 363.4 0.0 772
20220610 18.5 26.9 22.3 42.0 3.0 361.2 0.0 774
20220611 15.2 28.1 21.8 48.7 1.2 356.9 0.0 774
20220612 16.4 29.1 22.7 55.3 1.2 346.0 0.0 771
20220613 19.8 30.4 24.5 55.5 1.4 329.5 0.0 717
20220614 18.5 27.9 23.6 55.6 1.2 326.0 0.0 667
20220615 21.0 27.2 24.1 68.9 1.2 234.8 0.0 423
20220616 19.6 29.9 24.7 63.2 1.3 329.0 0.0 747
20220617 19.8 30.6 25.0 54.3 1.2 332.5 0.0 707
20220618 20.6 29.7 25.1 54.7 1.3 337.5 0.0 743
20220619 20.7 30.2 25.4 59.5 1.1 332.1 0.0 727
20220620 22.7 30.5 26.5 58.6 1.3 326.0 0.0 713
20220621 21.4 29.1 25.0 69.2 1.4 216.1 0.0 343
20220622 19.2 23.0 21.0 85.8 1.2 61.3 10.0 0
20220623 18.0 27.4 22.0 80.1 2.1 273.8 14.4 439
20220624 16.6 24.5 20.0 84.6 1.7 141.6 27.2 162
20220625 14.6 27.3 21.3 65.3 1.3 360.5 0.0 772
20220626 18.3 28.4 23.6 65.3 1.2 311.9 0.0 530
20220627 20.5 30.1 25.3 64.5 1.1 320.0 0.0 631
20220628 20.5 24.2 22.7 72.2 1.7 97.0 2.1 69
20220629 18.6 29.4 24.1 66.4 1.4 342.6 0.0 772
20220630 20.3 28.1 23.2 77.6 1.4 243.5 9.1 421
20220701 17.9 27.7 22.4 73.0 1.7 278.7 13.3 497
20220702 18.6 29.6 24.1 64.0 1.1 337.6 0.0 746
20220703 20.5 31.4 25.7 64.1 1.4 336.2 13.2 716
20220704 18.3 25.6 20.9 84.3 2.1 151.5 12.2 196
20220705 17.4 32.0 24.6 55.9 2.2 348.1 0.0 747
20220706 20.3 29.2 25.2 51.8 1.4 348.3 0.0 762
20220707 19.8 30.0 24.9 46.6 2.7 310.5 0.0 675
20220708 19.5 31.4 26.1 28.2 3.2 358.9 0.0 770
20220709 18.1 28.0 23.6 45.5 1.5 322.3 0.0 687
20220710 18.1 29.4 24.4 48.1 1.9 346.5 0.0 769
20220711 18.9 28.9 24.3 51.3 1.5 339.4 0.6 736
20220712 21.5 28.8 24.7 57.7 1.4 300.9 0.0 594
20220713 19.9 28.9 24.6 56.8 1.2 324.0 0.0 678
20220714 21.6 30.4 25.7 63.7 1.1 267.4 0.0 508
20220715 21.7 33.5 27.2 56.4 1.4 335.6 0.0 761
20220716 22.6 31.5 27.0 53.8 1.4 325.8 0.0 757
20220717 22.6 31.4 26.9 53.9 1.3 289.8 0.0 573
20220718 23.0 31.8 27.5 57.8 1.6 310.3 0.0 666
20220719 23.5 31.7 27.5 56.3 1.2 311.0 0.0 680
20220720 22.8 32.9 27.6 52.9 1.2 311.4 0.2 692
20220721 23.4 33.7 28.1 54.4 1.1 305.6 0.0 667
20220722 23.2 33.5 28.2 53.3 1.1 278.4 0.0 543
20220723 18.1 30.3 25.3 68.0 1.4 240.4 14.3 380
20220724 22.4 31.8 27.2 64.3 1.2 296.3 0.0 618
20220725 24.5 33.3 27.9 65.0 1.2 274.4 0.5 512
20220726 20.7 32.7 26.5 63.0 2.6 311.2 1.8 631
20220727 19.9 30.4 25.1 64.7 1.6 320.5 0.0 715
20220728 18.4 29.5 22.9 79.3 1.7 251.4 46.2 373
20220729 17.8 25.9 20.9 78.6 1.7 161.1 1.3 215
20220730 16.6 30.8 24.0 49.3 2.6 325.2 0.0 738
20220731 20.1 31.2 25.4 48.4 1.4 322.5 0.0 746
20220801 20.2 32.2 26.0 49.2 1.4 317.5 0.0 699
20220802 22.8 30.3 26.4 51.6 1.5 313.8 0.0 722
20220803 21.5 31.4 26.3 55.6 1.2 308.2 0.0 739
20220804 21.9 32.8 27.2 55.3 1.3 301.5 0.0 704
20220805 22.8 33.7 27.2 55.4 2.0 267.5 0.0 506
20220806 20.8 33.4 26.7 60.4 2.3 308.5 7.3 623
20220807 17.9 29.5 22.7 79.3 2.0 264.6 22.3 450
20220808 16.1 29.3 22.8 68.8 1.6 309.0 0.0 733
20220809 21.0 29.8 25.3 61.2 1.2 287.7 0.0 621
20220810 23.1 29.3 25.9 56.4 1.6 283.7 0.0 677
20220811 18.5 29.4 24.3 64.9 1.8 290.0 5.0 637
20220812 19.9 27.4 24.0 58.1 2.5 244.8 5.4 421
20220813 17.4 28.4 22.7 61.7 1.8 301.8 0.0 735
20220814 18.6 26.8 22.9 60.1 1.5 194.0 0.0 329
20220815 19.3 28.5 22.9 61.3 2.0 212.2 0.0 336
20220816 17.7 28.7 23.3 62.8 1.5 257.8 0.2 628
20220817 18.6 27.4 22.0 82.0 1.8 163.9 15.4 168
20220818 17.3 21.9 19.2 90.7 1.5 78.8 20.1 64
20220819 15.8 24.0 20.1 75.2 1.7 132.5 0.2 135
20220820 17.6 30.6 24.7 45.4 3.5 284.4 0.0 706
20220821 18.8 29.1 24.1 48.1 1.3 297.0 0.0 725
20220822 19.1 29.5 24.0 49.5 1.3 292.9 0.0 724
20220823 18.6 29.5 23.9 50.5 1.9 288.9 0.0 722
20220824 18.3 28.6 23.3 59.2 1.4 272.3 0.0 675
20220825 19.9 29.7 24.5 59.2 1.2 273.8 0.0 718
20220826 19.8 28.7 24.3 60.4 1.4 209.7 0.0 434
20220827 19.7 27.0 22.6 71.4 1.9 192.5 10.0 342
20220828 18.1 28.0 23.1 72.0 1.4 257.9 0.0 681
20220829 20.4 28.7 24.3 70.4 1.2 260.2 0.0 704
20220830 21.3 25.3 23.2 75.3 1.2 133.9 0.0 128
20220831 19.6 26.8 22.9 72.6 1.6 231.2 0.0 502
