DATE,tmean,tmax,tmin,precipitation,sunshine_duration,year_month
19800101,-1.7,0.1,-6.1,0.0,78.0,1980-01
19800102,-2.8,0.1,-6.8,0.2,42.0,1980-01
19800103,-2.0,0.4,-4.5,0.4,132.0,1980-01
19800104,-1.9,2.9,-5.1,5.5,0.0,1980-01
19800105,2.4,3.8,-0.2,3.8,0.0,1980-01
19800106,2.2,4.3,-0.2,6.4,0.0,1980-01
19800107,1.0,2.0,0.4,3.5,0.0,1980-01
19800108,1.4,2.9,0.3,0.0,0.0,1980-01
19800109,-1.4,0.7,-3.2,0.0,12.0,1980-01
19800110,-2.0,-1.4,-2.4,0.0,0.0,1980-01
19800111,-3.1,-1.5,-3.6,0.2,0.0,1980-01
19800112,-5.4,-3.9,-6.7,0.3,12.0,1980-01
19800113,-5.7,-4.9,-6.6,0.0,0.0,1980-01
19800114,-4.9,-3.2,-5.9,0.0,0.0,1980-01
19800115,-4.3,-2.5,-5.9,0.0,0.0,1980-01
19800116,-7.0,-4.9,-7.3,0.0,0.0,1980-01
19800117,-4.0,-2.7,-6.9,0.0,0.0,1980-01
19800118,-4.1,-3.0,-4.4,0.0,0.0,1980-01
19800119,-4.6,-3.1,-5.5,0.0,0.0,1980-01
19800120,-4.5,-3.2,-5.9,0.0,0.0,1980-01
19800121,-3.1,3.0,-5.1,4.8,0.0,1980-01
19800122,2.1,3.4,-1.7,25.1,0.0,1980-01
19800123,3.3,6.9,0.4,14.6,282.0,1980-01
19800124,3.8,7.3,0.2,22.9,0.0,1980-01
19800125,2.1,5.7,0.2,1.6,180.0,1980-01
19800126,-0.7,1.6,-2.2,0.2,0.0,1980-01
19800127,-0.3,3.3,-3.3,0.0,156.0,1980-01
19800128,-2.1,1.6,-4.5,0.0,276.0,1980-01
19800129,2.4,7.4,-1.2,0.0,138.0,1980-01
19800130,5.1,8.8,-1.3,0.0,162.0,1980-01
19800131,7.2,10.2,3.7,7.2,0.0,1980-01
19800201,3.4,5.7,1.6,2.3,48.0,1980-02
19800202,3.3,5.6,-0.4,8.7,0.0,1980-02
19800203,3.8,7.4,2.3,19.0,66.0,1980-02
19800204,6.5,11.4,2.6,20.2,0.0,1980-02
19800205,9.3,11.9,4.7,1.0,48.0,1980-02
19800206,7.0,9.0,5.9,1.0,132.0,1980-02
19800207,4.9,6.4,4.0,4.3,0.0,1980-02
19800208,3.9,9.2,0.7,0.0,330.0,1980-02
19800209,3.4,10.2,-1.6,0.0,168.0,1980-02
19800210,5.7,8.7,1.5,1.7,0.0,1980-02
19800211,4.7,8.4,2.2,0.2,234.0,1980-02
19800212,3.7,8.0,-0.3,0.0,378.0,1980-02
19800213,0.9,4.8,-2.3,0.0,48.0,1980-02
19800214,3.4,8.5,-1.0,0.0,270.0,1980-02
19800215,0.6,6.9,-3.1,0.0,0.0,1980-02
19800216,6.1,9.4,0.4,0.8,24.0,1980-02
19800217,4.4,5.9,3.7,2.2,0.0,1980-02
19800218,2.4,3.8,1.5,0.0,12.0,1980-02
19800219,0.3,2.8,-3.2,0.0,138.0,1980-02
19800220,-0.6,4.7,-4.5,0.0,534.0,1980-02
19800221,0.7,7.7,-6.2,0.0,426.0,1980-02
19800222,1.8,8.5,-5.9,2.6,468.0,1980-02
19800223,3.7,6.9,0.1,1.0,6.0,1980-02
19800224,2.1,5.1,-1.1,0.0,0.0,1980-02
19800225,1.4,6.6,-1.3,0.0,150.0,1980-02
