fid,id,station_name,altitude,X,Y
1,PLO,Locarno / Monti,376,2704158,1114348
2,PBS,Basel,256,2610935,1267909
3,PBE,Bern,546,2598936,1199918
4,PBU,"Buchs, SG",446,2754181,1226699
5,PDS,Davos / Wolfgang,1591,2784374,1189278
6,PLU,Lugano,275,2717898,1095885
7,PLZ,Luzern,463,2665198,1212207
8,PMU,Münsterlingen,415,2735151,1277053
9,PNE,Neuchâtel,490,2562823,1205584
10,PZH,Zürich,559,2685110,1248099
11,PGE,Genève,379,2500330,1116432
12,PCF,La Chaux-de-Fonds,1037,2553959,1218236
13,PLS,Lausanne,576,2539091,1152842
14,PPY,Payerne,490,2562168,1184814
15,PSN,Sion,494,2595832,1120442
16,PJU,Jungfraujoch,3565,2641908,1155282
